"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Salary","Contract","FPts","Bye","Ros %","GP","Yds/A","Yds/C","Pa0-9","Pa10-19","Pa20-29","Pa30-39","Pa40-49","Pa50+","LgPa","Ru0-9","Ru10-19","Ru20-29","Ru30-39","Ru40-49","Ru50+","LgRu","Rc0-9","Rc10-19","Rc20-29","Rc30-39","Rc40-49","Rc50+","LgRc","F","TO"
"*050an*","Xavier Ubosi","(N/A)","WR","5591","FA","29","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03clw*","Colton Underwood","(N/A)","TE,LB","5592","FA","31","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04zg9*","John Ursua","SEA","WR","5597","FA","29","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*040v6*","Soma Vainuku","(N/A)","RB","5601","FA","30","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*040nk*","Hakeem Valles","(N/A)","TE","5606","FA","30","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*040uu*","Jason Vander Laan","(N/A)","TE","5611","FA","30","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05rtq*","T.J. Vasher","(N/A)","WR","5614","FA","24","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03ctt*","Dustin Vaughan","(N/A)","QB","5615","FA","32","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05ryc*","Tyler Vaughns","(N/A)","WR","5617","FA","25","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04zga*","Teddy Veal","(N/A)","WR","5620","FA","26","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04oyn*","Jordan Veasy","(N/A)","WR","5621","FA","27","Bye","500,000","9th","0","","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
